GX,GY,GZ,AX,AY,AZ,MX,MY,MZ,TS
-310.33325,120.162964,-141.08276,-0.19042969,-0.03540039,1.7797852,-0.11315918,-0.08166504,-0.1204834,91
-328.36914,130.58472,-114.471436,-0.1459961,-0.036132812,1.8251953,-0.119018555,-0.1105957,-0.111328125,92
-353.65295,144.34814,-88.31787,-0.107177734,-0.009277344,1.8710938,-0.119018555,-0.1105957,-0.111328125,93
-370.19348,158.3252,-68.19153,-0.08618164,0.018554688,1.8901367,-0.119018555,-0.1105957,-0.111328125,94
-377.39563,169.83032,-62.286377,-0.084472656,0.020019531,1.8723145,-0.13110352,-0.13952637,-0.10180664,95
-386.5509,175.65918,-61.75232,-0.095947266,-0.003173828,1.84375,-0.13110352,-0.13952637,-0.10180664,96
-393.75305,179.5044,-55.923462,-0.11035156,-0.034179688,1.7954102,-0.13110352,-0.13952637,-0.10180664,97
-396.39282,175.23193,-36.972046,-0.13549805,-0.07299805,1.736084,-0.14685059,-0.17102051,-0.08605957,98
-395.27893,174.9878,-9.521484,-0.15991211,-0.103027344,1.6835938,-0.14685059,-0.17102051,-0.08605957,99
-392.92908,173.20251,3.3569336,-0.12573242,-0.10668945,1.6220703,-0.1640625,-0.1977539,-0.06958008,100
-378.12805,167.08374,-0.6713867,-0.20605469,-0.09838867,1.5666504,-0.1640625,-0.1977539,-0.06958008,101
-354.79736,166.90063,-13.137817,-0.20117188,-0.06958008,1.5395508,-0.1640625,-0.1977539,-0.06958008,102
-335.14404,169.32678,-27.664185,-0.1743164,-0.008544922,1.5175781,-0.17614746,-0.21936035,-0.05090332,103
-326.11084,173.23303,-33.87451,-0.15039062,0.080322266,1.4909668,-0.17614746,-0.21936035,-0.05090332,104
-320.44983,173.84338,-22.247314,-0.13671875,0.12841797,1.4577637,-0.18603516,-0.23547363,-0.028564453,105
-330.44434,170.44067,-10.223389,-0.12060547,0.12597656,1.4072266,-0.18603516,-0.23547363,-0.028564453,106
-340.59143,161.16333,10.635376,-0.103027344,0.08129883,1.348877,-0.18603516,-0.23547363,-0.028564453,107
-353.54614,154.63257,19.805908,-0.104003906,0.038085938,1.2575684,-0.2006836,-0.25378418,-0.020874023,108
-360.65674,150.11597,35.079956,-0.12402344,-0.000488281,1.1325684,-0.2006836,-0.25378418,-0.020874023,109
-354.50745,147.38464,44.006348,-0.14575195,-0.02368164,1.0148926,-0.20507812,-0.27209473,0.008422852,110
-334.36584,142.25769,48.40088,-0.15625,-0.026855469,0.8947754,-0.20507812,-0.27209473,0.008422852,111
-302.948,126.35803,46.051025,-0.16625977,-0.021728516,0.80249023,-0.20507812,-0.27209473,0.008422852,112
-266.90674,107.97119,46.24939,-0.17260742,-0.011962891,0.71533203,-0.20800781,-0.2874756,0.021972656,113
-240.7074,84.365845,54.992676,-0.16674805,0.000732422,0.6516113,-0.20800781,-0.2874756,0.021972656,114
-222.93091,60.791016,67.5354,-0.15332031,0.010986328,0.58862305,-0.20141602,-0.29992676,0.034423828,115
-205.53589,46.463013,86.54785,-0.13500977,0.025878906,0.5324707,-0.20141602,-0.29992676,0.034423828,116
-192.32178,33.584595,95.581055,-0.11450195,0.049560547,0.4921875,-0.20141602,-0.29992676,0.034423828,117
-186.06567,29.663086,91.81213,-0.09350586,0.08544922,0.46264648,-0.19628906,-0.30395508,0.048706055,118
-185.27222,31.646729,78.73535,-0.076416016,0.12963867,0.45532227,-0.19628906,-0.30395508,0.048706055,119
-178.11584,47.1344,61.47766,-0.068359375,0.18139648,0.45092773,-0.18493652,-0.30651855,0.06335449,120
-160.61401,61.462402,38.83362,-0.068603516,0.21923828,0.4321289,-0.18493652,-0.30651855,0.06335449,121
-144.53125,75.33264,14.678955,-0.07836914,0.23901367,0.3972168,-0.18493652,-0.30651855,0.06335449,122
-127.212524,84.59473,-2.7618408,-0.092285156,0.23950195,0.35864258,-0.18200684,-0.3109131,0.079833984,123
-114.74609,86.60889,-11.917114,-0.10449219,0.2319336,0.30273438,-0.18200684,-0.3109131,0.079833984,124
-105.789185,80.47485,-26.733398,-0.11376953,0.2211914,0.23608398,-0.18969727,-0.3182373,0.09008789,125
-99.41101,72.509766,-33.26416,-0.11791992,0.20629883,0.1796875,-0.18969727,-0.3182373,0.09008789,126
-92.437744,63.12561,-36.987305,-0.119384766,0.18481445,0.18603516,-0.18969727,-0.3182373,0.09008789,127
